Side,Difficulty,Title,Description
MONSTER,MEDIUM,Squid Game,Once the rift spawns; you must drop whatever you're doing to protect it from teens. You cannot claim the rift yourself or do anything to make it despawn faster. If you are unsuccessful; you need to remain frozen until the end of your exposed duration.
MONSTER,HARD,The ol' Switcharoo,As Dollmaster you may only use your teleport aggressively (doll indicator must be yellow)
TEEN,MEDIUM,Karaoke,You can only communicate in comms with phrases from movies or broadway shows
TEEN,MEDIUM,Source: Dude Just Trust Me,All the Voice Chat callouts you say must be incorrect
TEEN,ROBY,I'm Just Short,You can only move while crouching
BOTH,EXPERT,Pixel,You must play with the HUD disabled in the settings
TEEN,HARD,What Doesn't Kill You,You can only craft weapons while Injured
TEEN,HARD,I Can Do This All Day,You can only attack the Monster while Injured
TEEN,MEDIUM,Tis but a Scratch,You cannot attack the Monster until you have been hit at least once
BOTH,EXPERT,W Gamer,You can only move by holding forwards. You must always be moving forwards when not doing an action
BOTH,ROBY,Deafened,"Set the ""Master Volume"" to zero in the settings"
TEEN,MEDIUM,ABP,(Team) The Teens are not allowed to communicate with Voice Chat and must only use Pings
BOTH,EXPERT,The Crab,"You can only use the ""A"" and ""D"" movement keys"
TEEN,EXPERT,I Work Alone,You must avoid being in the same room as another Teen (room labels)
TEEN,MEDIUM,Top Shelf,"You can only craft the ""Tier 3"" weapons. (Solar Flare; Holy Staff; Enigma; and Shock Sphere)"
MONSTER,HARD,Adrenaline Rush,All Teens must be hit at least 3 times before killing anyone
TEEN,EXPERT,Transmuted,You can only craft the Solar Flare
MONSTER,HARD,You Didn't Need That Right?,You are not allowed to use your third ability
MONSTER,EXPERT,Body Master,As Doll Master; you can never take possession of any Dolls
MONSTER,MEDIUM,Copycat,If you see a Teen emoting; you must immediately emote at least once
TEEN,HARD,Take the Hit!,When being chased by the Monster; you must lead them to another Teen
MONSTER,ROBY,The Comeback,You can only start attacking the Teens after being wounded down to 1 stigma
MONSTER,EXPERT,All or Nothing,If you lose a Stigma to a wound; you must let the Teens win
MONSTER,HARD,Head Start,You cannot move for the first 30 seconds of the match
TEEN,HARD,Introvert,You cannot enter the Courtyard on Hotel and Highschool; and cannot enter the Lobby on Facility
TEEN,EASY,Oh Boy...,Everyone has to speak with a foreign accent of their choice.
TEEN,HARD,Too Stunned To Speak,The Monster must be stunned before anyone is allowed to take a stigma (excluding the first hit)
TEEN,EXPERT,I Got This,Once you start firing a weapon; you are not allowed to stop until it runs out
TEEN,MEDIUM,Can't Stop Won't Stop,You must be running at all times (unless stopped by an action)
TEEN,EASY,Ditto,Choose a player; you must attempt to copy that player's actions at all times
MONSTER,MEDIUM,Oh No You Didn't,Whenever you are hit by a stigma; the player that hit you must be the next one you hit
MONSTER,ROBY,Go My Children,Play as Dollmaster; you are not allowed to move with your body. You can use dolls to move your traps and you are allowed to teleport.
MONSTER,MEDIUM,Leap Frog,Play as WART; you can only hit teens mid leap.
